Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date
Horticulture,Avocado,Bag,90,2044.0,4/1/2012 0:00
Horticulture,Kales,Bag,50,1580.0,4/1/2012 0:00
Horticulture,Cabbages,Ext Bag,126,2105.0,5/1/2012 0:00
Horticulture,Cooking Bananas,Med Bunch,22,565.0,5/1/2012 0:00
Horticulture,Ripe Bananas,Med Bunch,14,630.0,5/1/2012 0:00
Horticulture,Carrots,Ext Bag,138,3752.0,5/1/2012 0:00
Horticulture,Tomatoes,Lg Box,64,3302.0,5/1/2012 0:00
Horticulture,Onions Dry,net,13,1153.0,5/1/2012 0:00
Horticulture,Spring Onions,Bag,142,1793.0,5/1/2012 0:00
Horticulture,Chillies,Bag,38,2889.0,5/1/2012 0:00
Horticulture,Cucumber,Bag,50,2072.0,5/1/2012 0:00
Horticulture,Capsicums,Bag,50,2758.0,5/1/2012 0:00
Horticulture,Brinjals,Bag,44,1390.0,5/1/2012 0:00
Horticulture,Cauliflower,crate,39,2969.0,5/1/2012 0:00
Horticulture,Lettuce,Bag,51,3390.0,5/1/2012 0:00
Horticulture,Passion Fruits,Bag,57,3633.0,5/1/2012 0:00
Horticulture,Oranges,Bag,93,2708.0,5/1/2012 0:00
Horticulture,Lemons,Bag,95,1461.0,5/1/2012 0:00
Horticulture,Mangoes Local,Bag,126,1960.0,5/1/2012 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,1132.0,5/1/2012 0:00
Horticulture,Limes,net,13,681.0,5/1/2012 0:00
Horticulture,Pineapples,Dozen,13,788.0,5/1/2012 0:00
Horticulture,Pawpaw,Lg Box,54,1428.0,5/1/2012 0:00
Horticulture,Avocado,Bag,90,1939.0,5/1/2012 0:00
Horticulture,Kales,Bag,50,1206.0,5/1/2012 0:00
Horticulture,Cabbages,Ext Bag,126,2221.0,6/1/2012 0:00
Horticulture,Cooking Bananas,Med Bunch,22,589.0,6/1/2012 0:00
Horticulture,Ripe Bananas,Med Bunch,14,659.0,6/1/2012 0:00
Horticulture,Carrots,Ext Bag,138,4147.0,6/1/2012 0:00
Horticulture,Tomatoes,Lg Box,64,4172.0,6/1/2012 0:00
Horticulture,Onions Dry,net,13,1229.0,6/1/2012 0:00
Horticulture,Spring Onions,Bag,142,1993.0,6/1/2012 0:00
Horticulture,Chillies,Bag,38,2658.0,6/1/2012 0:00
Horticulture,Cucumber,Bag,50,1893.0,6/1/2012 0:00
Horticulture,Capsicums,Bag,50,2758.0,6/1/2012 0:00
Horticulture,Brinjals,Bag,44,1606.0,6/1/2012 0:00
Horticulture,Cauliflower,crate,39,2147.0,6/1/2012 0:00
Horticulture,Lettuce,Bag,51,3281.0,6/1/2012 0:00
Horticulture,Passion Fruits,Bag,57,3636.0,6/1/2012 0:00
Horticulture,Oranges,Bag,93,2410.0,6/1/2012 0:00
Horticulture,Lemons,Bag,95,1767.0,6/1/2012 0:00
Horticulture,Mangoes Local,Bag,126,2018.0,6/1/2012 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,1004.0,6/1/2012 0:00
Horticulture,Limes,net,13,655.0,6/1/2012 0:00
Horticulture,Pineapples,Dozen,13,851.0,6/1/2012 0:00
Horticulture,Pawpaw,Lg Box,54,1406.0,6/1/2012 0:00
Horticulture,Avocado,Bag,90,1971.0,6/1/2012 0:00
Horticulture,Kales,Bag,50,1272.0,6/1/2012 0:00
Horticulture,Cabbages,Ext Bag,126,2034.0,7/1/2012 0:00
Horticulture,Cooking Bananas,Med Bunch,22,544.0,7/1/2012 0:00
Horticulture,Ripe Bananas,Med Bunch,14,582.0,7/1/2012 0:00
Horticulture,Carrots,Ext Bag,138,4534.0,7/1/2012 0:00
Horticulture,Tomatoes,Lg Box,64,2602.0,7/1/2012 0:00
Horticulture,Onions Dry,net,13,1004.0,7/1/2012 0:00
Horticulture,Spring Onions,Bag,142,2103.0,7/1/2012 0:00
Horticulture,Chillies,Bag,38,2785.0,7/1/2012 0:00
Horticulture,Cucumber,Bag,50,1917.0,7/1/2012 0:00
Horticulture,Capsicums,Bag,50,2552.0,7/1/2012 0:00
Horticulture,Brinjals,Bag,44,1592.0,7/1/2012 0:00
Horticulture,Cauliflower,crate,39,2744.0,7/1/2012 0:00
Horticulture,Lettuce,Bag,51,3563.0,7/1/2012 0:00
Horticulture,Passion Fruits,Bag,57,3726.0,7/1/2012 0:00
Horticulture,Oranges,Bag,93,2413.0,7/1/2012 0:00
Horticulture,Lemons,Bag,95,1695.0,7/1/2012 0:00
Horticulture,Mangoes Local,Bag,126,1750.0,7/1/2012 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,1063.0,7/1/2012 0:00
Horticulture,Limes,net,13,602.0,7/1/2012 0:00
Horticulture,Pineapples,Dozen,13,831.0,7/1/2012 0:00
Horticulture,Pawpaw,Lg Box,54,1432.0,7/1/2012 0:00
Horticulture,Avocado,Bag,90,1741.0,7/1/2012 0:00
Horticulture,Kales,Bag,50,824.0,7/1/2012 0:00
Horticulture,Cabbages,Ext Bag,126,1905.0,8/1/2012 0:00
Horticulture,Cooking Bananas,Med Bunch,22,572.0,8/1/2012 0:00
Horticulture,Ripe Bananas,Med Bunch,14,542.0,8/1/2012 0:00
Horticulture,Carrots,Ext Bag,138,3850.0,8/1/2012 0:00
Horticulture,Tomatoes,Lg Box,64,2576.0,8/1/2012 0:00
Horticulture,Onions Dry,net,13,887.0,8/1/2012 0:00
Horticulture,Spring Onions,Bag,142,1975.0,8/1/2012 0:00
Horticulture,Chillies,Bag,38,2652.0,8/1/2012 0:00
Horticulture,Cucumber,Bag,50,1572.0,8/1/2012 0:00
Horticulture,Capsicums,Bag,50,2769.0,8/1/2012 0:00
Horticulture,Brinjals,Bag,44,1544.0,8/1/2012 0:00
Horticulture,Cauliflower,crate,39,2408.0,8/1/2012 0:00
Horticulture,Lettuce,Bag,51,4246.0,8/1/2012 0:00
Horticulture,Passion Fruits,Bag,57,3291.0,8/1/2012 0:00
Horticulture,Oranges,Bag,93,2736.0,8/1/2012 0:00
Horticulture,Lemons,Bag,95,1749.0,8/1/2012 0:00
Horticulture,Mangoes Local,Bag,126,1791.0,8/1/2012 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,1013.0,8/1/2012 0:00
Horticulture,Limes,net,13,817.0,8/1/2012 0:00
Horticulture,Pineapples,Dozen,13,698.0,8/1/2012 0:00
Horticulture,Pawpaw,Lg Box,54,1388.0,8/1/2012 0:00
Horticulture,Avocado,Bag,90,1634.0,8/1/2012 0:00
Horticulture,Kales,Bag,50,682.0,8/1/2012 0:00
Horticulture,Cabbages,Ext Bag,126,1792.0,9/1/2012 0:00
Horticulture,Cooking Bananas,Med Bunch,22,571.0,9/1/2012 0:00
Horticulture,Ripe Bananas,Med Bunch,14,573.0,9/1/2012 0:00
Horticulture,Carrots,Ext Bag,138,3261.0,9/1/2012 0:00
Horticulture,Tomatoes,Lg Box,64,2602.0,9/1/2012 0:00
Horticulture,Onions Dry,net,13,1018.0,9/1/2012 0:00
Horticulture,Spring Onions,Bag,142,2097.0,9/1/2012 0:00
Horticulture,Chillies,Bag,38,3783.0,9/1/2012 0:00
Horticulture,Cucumber,Bag,50,1735.0,9/1/2012 0:00
Horticulture,Capsicums,Bag,50,2674.0,9/1/2012 0:00
Horticulture,Brinjals,Bag,44,1474.0,9/1/2012 0:00
