Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date,OBJECTID
Horticulture,Mangoes Ngowe,Sm Basket,25,1130.0,3/1/2012 0:00,63
Horticulture,Limes,net,13,541.0,3/1/2012 0:00,64
Horticulture,Pineapples,Dozen,13,748.0,3/1/2012 0:00,65
Horticulture,Pawpaw,Lg Box,54,1503.0,3/1/2012 0:00,66
Horticulture,Avocado,Bag,90,2252.0,3/1/2012 0:00,67
Horticulture,Kales,Bag,50,2049.0,3/1/2012 0:00,68
Horticulture,Cabbages,Ext Bag,126,2625.0,4/1/2012 0:00,69
Horticulture,Cooking Bananas,Med Bunch,22,543.0,4/1/2012 0:00,70
Horticulture,Ripe Bananas,Med Bunch,14,623.0,4/1/2012 0:00,71
Horticulture,Carrots,Ext Bag,138,3536.0,4/1/2012 0:00,72
Horticulture,Tomatoes,Lg Box,64,2820.0,4/1/2012 0:00,73
Horticulture,Onions Dry,net,13,1174.0,4/1/2012 0:00,74
Horticulture,Spring Onions,Bag,142,1833.0,4/1/2012 0:00,75
Horticulture,Chillies,Bag,38,2769.0,4/1/2012 0:00,76
Horticulture,Cucumber,Bag,50,2207.0,4/1/2012 0:00,77
Horticulture,Capsicums,Bag,50,2889.0,4/1/2012 0:00,78
Horticulture,Brinjals,Bag,44,1692.0,4/1/2012 0:00,79
Horticulture,Cauliflower,crate,39,2865.0,4/1/2012 0:00,80
Horticulture,Lettuce,Bag,51,3729.0,4/1/2012 0:00,81
Horticulture,Passion Fruits,Bag,57,3589.0,4/1/2012 0:00,82
Horticulture,Oranges,Bag,93,2792.0,4/1/2012 0:00,83
Horticulture,Lemons,Bag,95,1199.0,4/1/2012 0:00,84
Horticulture,Mangoes Local,Bag,126,1993.0,4/1/2012 0:00,85
Horticulture,Mangoes Ngowe,Sm Basket,25,1069.0,4/1/2012 0:00,86
Horticulture,Limes,net,13,601.0,4/1/2012 0:00,87
Horticulture,Pineapples,Dozen,13,747.0,4/1/2012 0:00,88
Horticulture,Pawpaw,Lg Box,54,1538.0,4/1/2012 0:00,89
Horticulture,Avocado,Bag,90,2044.0,4/1/2012 0:00,90
