Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date,OBJECTID
Horticulture,Mangoes Local,Bag,126,KES1993.00,4/1/2012 0:00,85
Horticulture,Mangoes Ngowe,Sm Basket,25,KES1069.00,4/1/2012 0:00,86
Horticulture,Limes,net,13,KES601.00,4/1/2012 0:00,87
Horticulture,Pineapples,Dozen,13,KES747.00,4/1/2012 0:00,88
Horticulture,Pawpaw,Lg Box,54,KES1538.00,4/1/2012 0:00,89
Horticulture,Avocado,Bag,90,KES2044.00,4/1/2012 0:00,90
Horticulture,Kales,Bag,50,KES1580.00,4/1/2012 0:00,91
Horticulture,Cabbages,Ext Bag,126,KES2105.00,5/1/2012 0:00,92
Horticulture,Cooking Bananas,Med Bunch,22,KES565.00,5/1/2012 0:00,93
Horticulture,Ripe Bananas,Med Bunch,14,KES630.00,5/1/2012 0:00,94
Horticulture,Carrots,Ext Bag,138,KES3752.00,5/1/2012 0:00,95
Horticulture,Tomatoes,Lg Box,64,KES3302.00,5/1/2012 0:00,96
Horticulture,Onions Dry,net,13,KES1153.00,5/1/2012 0:00,97
Horticulture,Spring Onions,Bag,142,KES1793.00,5/1/2012 0:00,98
Horticulture,Chillies,Bag,38,KES2889.00,5/1/2012 0:00,99
Horticulture,Cucumber,Bag,50,KES2072.00,5/1/2012 0:00,100
Horticulture,Capsicums,Bag,50,KES2758.00,5/1/2012 0:00,101
Horticulture,Brinjals,Bag,44,KES1390.00,5/1/2012 0:00,102
Horticulture,Cauliflower,crate,39,KES2969.00,5/1/2012 0:00,103
Horticulture,Lettuce,Bag,51,KES3390.00,5/1/2012 0:00,104
Horticulture,Passion Fruits,Bag,57,KES3633.00,5/1/2012 0:00,105
Horticulture,Oranges,Bag,93,KES2708.00,5/1/2012 0:00,106
Horticulture,Lemons,Bag,95,KES1461.00,5/1/2012 0:00,107
Horticulture,Mangoes Local,Bag,126,KES1960.00,5/1/2012 0:00,108
Horticulture,Mangoes Ngowe,Sm Basket,25,KES1132.00,5/1/2012 0:00,109
Horticulture,Limes,net,13,KES681.00,5/1/2012 0:00,110
Horticulture,Pineapples,Dozen,13,KES788.00,5/1/2012 0:00,111
Horticulture,Pawpaw,Lg Box,54,KES1428.00,5/1/2012 0:00,112
Horticulture,Avocado,Bag,90,KES1939.00,5/1/2012 0:00,113
Horticulture,Kales,Bag,50,KES1206.00,5/1/2012 0:00,114
Horticulture,Cabbages,Ext Bag,126,KES2221.00,6/1/2012 0:00,115
Horticulture,Cooking Bananas,Med Bunch,22,KES589.00,6/1/2012 0:00,116
Horticulture,Ripe Bananas,Med Bunch,14,KES659.00,6/1/2012 0:00,117
Horticulture,Carrots,Ext Bag,138,KES4147.00,6/1/2012 0:00,118
Horticulture,Tomatoes,Lg Box,64,KES4172.00,6/1/2012 0:00,119
Horticulture,Onions Dry,net,13,KES1229.00,6/1/2012 0:00,120
Horticulture,Spring Onions,Bag,142,KES1993.00,6/1/2012 0:00,121
Horticulture,Chillies,Bag,38,KES2658.00,6/1/2012 0:00,122
Horticulture,Cucumber,Bag,50,KES1893.00,6/1/2012 0:00,123
Horticulture,Capsicums,Bag,50,KES2758.00,6/1/2012 0:00,124
Horticulture,Brinjals,Bag,44,KES1606.00,6/1/2012 0:00,125
Horticulture,Cauliflower,crate,39,KES2147.00,6/1/2012 0:00,126
Horticulture,Lettuce,Bag,51,KES3281.00,6/1/2012 0:00,127
Horticulture,Passion Fruits,Bag,57,KES3636.00,6/1/2012 0:00,128
Horticulture,Oranges,Bag,93,KES2410.00,6/1/2012 0:00,129
