Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date,OBJECTID
Horticulture,Avocado,Bag,90,2044.0,4/1/2012 ,90
Horticulture,Kales,Bag,50,1580.0,4/1/2012 ,91
Horticulture,Cabbages,Ext Bag,126,2105.0,5/1/2012 ,92
Horticulture,Cooking Bananas,Med Bunch,22,565.0,5/1/2012 ,93
Horticulture,Ripe Bananas,Med Bunch,14,630.0,5/1/2012 ,94
Horticulture,Carrots,Ext Bag,138,3752.0,5/1/2012 ,95
Horticulture,Tomatoes,Lg Box,64,3302.0,5/1/2012 ,96
Horticulture,Onions Dry,net,13,1153.0,5/1/2012 ,97
Horticulture,Spring Onions,Bag,142,1793.0,5/1/2012 ,98
Horticulture,Chillies,Bag,38,2889.0,5/1/2012 ,99
Horticulture,Cucumber,Bag,50,2072.0,5/1/2012 ,100
Horticulture,Capsicums,Bag,50,2758.0,5/1/2012 ,101
Horticulture,Brinjals,Bag,44,1390.0,5/1/2012 ,102
Horticulture,Cauliflower,crate,39,2969.0,5/1/2012 ,103
Horticulture,Lettuce,Bag,51,3390.0,5/1/2012 ,104
Horticulture,Passion Fruits,Bag,57,3633.0,5/1/2012 ,105
Horticulture,Oranges,Bag,93,2708.0,5/1/2012 ,106
Horticulture,Lemons,Bag,95,1461.0,5/1/2012 ,107
Horticulture,Mangoes Local,Bag,126,1960.0,5/1/2012 ,108
Horticulture,Mangoes Ngowe,Sm Basket,25,1132.0,5/1/2012 ,109
Horticulture,Limes,net,13,681.0,5/1/2012 ,110
Horticulture,Pineapples,Dozen,13,788.0,5/1/2012 ,111
Horticulture,Pawpaw,Lg Box,54,1428.0,5/1/2012 ,112
Horticulture,Avocado,Bag,90,1939.0,5/1/2012 ,113
Horticulture,Kales,Bag,50,1206.0,5/1/2012 ,114
Horticulture,Cabbages,Ext Bag,126,2221.0,6/1/2012 ,115
Horticulture,Cooking Bananas,Med Bunch,22,589.0,6/1/2012 ,116
